PID,Arrival_Time,Burst_Time,Priority
P001,0,8,10
P002,0,19,10
P003,1,2,9
P004,4,6,2
P005,4,8,8
P006,4,13,10
P007,5,20,8
P008,5,17,9
P009,5,30,6
P010,5,4,3
P011,6,33,4
P012,7,13,5
P013,9,2,8
P014,12,13,2
P015,12,15,10
P016,14,19,1
P017,16,17,4
P018,18,10,10
P019,19,17,2
P020,19,10,9
P021,19,1,4
P022,21,22,6
P023,22,25,1
P024,23,9,9
P025,23,39,6
P026,23,8,1
P027,24,3,9
P028,24,3,3
P029,24,16,4
P030,25,3,9
P031,26,8,2
P032,28,14,10
P033,28,17,2
P034,29,11,10
P035,30,20,2
P036,30,20,4
P037,30,10,6
P038,31,14,10
P039,33,20,9
P040,33,23,3
P041,33,8,8
P042,34,12,10
P043,34,14,9
P044,35,7,1
P045,36,2,10
P046,38,10,9
P047,39,2,2
P048,42,40,9
P049,44,28,4
P050,44,1,5
P051,48,11,4
P052,48,8,3
P053,49,14,10
P054,50,5,7
P055,51,14,6
P056,52,14,1
P057,53,3,9
P058,53,16,3
P059,54,13,9
P060,54,14,1
P061,55,30,5
P062,55,10,3
P063,55,4,3
P064,56,6,9
P065,56,10,9
P066,57,9,7
P067,59,16,3
P068,59,20,4
P069,59,11,4
P070,59,17,7
P071,59,5,1
P072,60,13,10
P073,61,19,7
P074,62,15,9
P075,62,12,7
P076,62,13,5
P077,64,8,3
P078,64,6,4
P079,64,16,1
P080,64,17,7
P081,64,4,7
P082,66,7,6
P083,67,2,3
P084,67,8,9
P085,68,11,8
P086,68,14,2
P087,69,14,10
P088,69,3,8
P089,71,10,6
P090,71,18,1
P091,72,6,10
P092,72,35,5
P093,73,13,8
P094,73,36,9
P095,74,30,4
P096,74,4,1
P097,76,6,7
P098,79,20,6
P099,80,10,9
P100,80,6,9
